RENT,AREA_SQFT,BHK,FURNISHED,ADDRESS,CITY
"10,000",1000,2 BHK,Furnished,"Kishangarh, Ajmer",Ajmer
"20,000",1250,2 BHK,Unfurnished,"Pragati Nagar, Ajmer",Ajmer
"11,000",2000,2 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"20,000",1250,3 BHK,Furnished,"Haribhau Upadhyay Nagar, Ajmer",Ajmer
"15,000",1649,1 BHK,Unfurnished,"Gyan Vihar Colony, Ajmer",Ajmer
"5,500",350,2 BHK,Unfurnished,"Panchsheel Nagar, Ajmer",Ajmer
"5,500",400,2 BHK,Unfurnished,"Panchsheel Nagar, Ajmer",Ajmer
"14,000",1900,3 BHK,Unfurnished,"Kotra, Ajmer",Ajmer
"10,000",448,2 BHK,Unfurnished,"Roop nagar, Ajmer",Ajmer
"12,500",800,2 BHK,Unfurnished,"Civil Lines, Ajmer",Ajmer
"17,000",1000,2 BHK,Furnished,shri ram vihar,Ajmer
"15,000",148,2 BHK,Unfurnished,"3/195, B block",Ajmer
"12,500",300,2 BHK,Unfurnished,sobhag,Ajmer
"19,000",1200,3 BHK,Unfurnished,"Gyan Vihar Colony, Ajmer",Ajmer
"14,000",1920,1 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"7,500",700,2 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"15,000",1500,2 BHK,Unfurnished,"Topdara, Ajmer",Ajmer
"11,500",1291,2 BHK,Unfurnished,"Panchsheel Nagar, Ajmer",Ajmer
"4,000",150,1 BHK,Unfurnished,"Kishangarh, Ajmer",Ajmer
"11,500",1291,2 BHK,Unfurnished,"Panchsheel Colony, Ajmer",Ajmer
"12,000",2000,2 BHK,Unfurnished,CRS Astitva,Ajmer
"14,000",1250,2 BHK,Furnished,"BK Kaul Nagar, Ajmer",Ajmer
"16,500",1665,3 BHK,Unfurnished,"Gyan Vihar Colony, Ajmer",Ajmer
"16,000",1200,2 BHK,Unfurnished,"Pushkar, Ajmer",Ajmer
"12,000",800,2 BHK,Unfurnished,"Kotra, Ajmer",Ajmer
"7,000",495,1 BHK,Unfurnished,Apeksha City Ajmer,Ajmer
"20,000",120,2 BHK,Unfurnished,modi path,Ajmer
"12,000",200,2 BHK,Furnished,Issai mohalla,Ajmer
"11,000",1800,3 BHK,Unfurnished,"Vaishali Nagar, Ajmer",Ajmer
"7,000",250,2 BHK,Unfurnished,Unique Tarang,Ajmer
"6,000",1500,1 BHK,Furnished,2nd home ajmer,Ajmer
"6,000",300,1 BHK,Furnished,home ajmer,Ajmer
"3,800",350,1 BHK,Unfurnished,Aravali Homes,Ajmer
"5,000",350,1 BHK,Unfurnished,Aravali Homes,Ajmer
"12,000",1200,3 BHK,Unfurnished,Makadwari road,Ajmer
"17,000",1340,2 BHK,Furnished,Samriddhi Dynasty,Ajmer
"17,000",1600,3 BHK,Unfurnished,Eligance,Ajmer
"12,490",1200,2 BHK,Unfurnished,ARG Rosewood Apartments,Ajmer
"15,000",1800,3 BHK,Unfurnished,N 175 AMBEDKAR NAGAR,Alwar
"17,000",1505,3 BHK,Unfurnished,Trehan Residences,Alwar
"3,500",350,1 BHK,Unfurnished,"Budhvihar, Alwar",Alwar
"12,000",550,3 BHK,Unfurnished,"Telco Circle, Alwar",Alwar
"6,000",10800,2 BHK,Unfurnished,"subhash chouk, Alwar",Alwar
"10,000",1500,1 BHK,Unfurnished,Scheme 2,Alwar
"7,000",600,2 BHK,Furnished,"Aravali Vihar, Alwar",Alwar
"10,500",400,3 BHK,Unfurnished,"Lajpat Nagar, Alwar",Alwar
"7,000",990,2 BHK,Unfurnished,"Jyoti Nagar, Alwar",Alwar
